Column1,date,open,high,low,close,volume,average,barCount,crossed
18,6/30/2022 6:30,153.52,153.89,151.3,153.38,21105.43,152.659,8078,Crossed.same
19,6/30/2022 6:35,153.4,154.33,151.99,152.14,15318.84,153.082,6012,Crossed.same
20,6/30/2022 6:40,152.18,152.78,151.12,151.19,10106.98,152.148,4628,Crossed.under
21,6/30/2022 6:45,151.18,151.57,150.55,151.12,11740.63,151.087,5637,Crossed.same
22,6/30/2022 6:50,151.1,151.64,149.65,149.89,13091.65,150.309,5704,Crossed.same
23,6/30/2022 6:55,149.86,150.67,149.64,150.24,8467.55,150.117,3193,Crossed.same
24,6/30/2022 7:00,150.21,150.6,149.49,149.52,8721.23,149.959,3432,Crossed.same
25,6/30/2022 7:05,149.52,149.84,149.14,149.22,9111.29,149.523,3698,Crossed.same
26,6/30/2022 7:10,149.23,149.85,148.88,149.84,9968.6,149.201,4331,Crossed.same
27,6/30/2022 7:15,149.82,150.22,149.02,149.78,10656.57,149.722,4112,Crossed.same
28,6/30/2022 7:20,149.81,150.17,148.75,149.12,9114.15,149.328,3918,Crossed.same
29,6/30/2022 7:25,149.12,149.56,148.62,149,5751.57,149.08,2345,Crossed.same
30,6/30/2022 7:30,148.97,150.22,148.75,150.22,10033.43,149.547,3961,Crossed.same
31,6/30/2022 7:35,150.22,150.3,149.31,149.31,6339.75,149.869,2642,Crossed.same
32,6/30/2022 7:40,149.3,149.45,148.75,148.77,6836.92,149.14,3047,Crossed.same
33,6/30/2022 7:45,148.79,149.42,148.75,149.16,5179.68,149.096,2219,Crossed.same
34,6/30/2022 7:50,149.2,150.16,149.06,149.97,7283.18,149.619,2896,Crossed.same
35,6/30/2022 7:55,149.95,150.91,149.83,150.85,7371.04,150.401,2991,Crossed.same
36,6/30/2022 8:00,150.84,150.95,150.51,150.69,5568.67,150.726,2123,Crossed.same
37,6/30/2022 8:05,150.69,152.03,150.68,151.93,7691.24,151.328,3045,Crossed.same
38,6/30/2022 8:10,151.9,152.24,151.54,151.82,6413.01,151.861,2379,Crossed.over
39,6/30/2022 8:15,151.78,152.72,151.77,152.6,5413.51,152.276,2183,Crossed.same
40,6/30/2022 8:20,152.59,154.23,152.58,153.65,12796.85,153.568,5166,Crossed.same
41,6/30/2022 8:25,153.63,154.69,153.51,154.37,10084.05,154.215,4223,Crossed.same
42,6/30/2022 8:30,154.4,154.53,153.59,153.68,7556.63,154.072,3291,Crossed.same
43,6/30/2022 8:35,153.66,153.77,153.22,153.68,6073.07,153.415,2643,Crossed.same
44,6/30/2022 8:40,153.66,153.7,153.01,153.51,5535.58,153.362,2103,Crossed.same
45,6/30/2022 8:45,153.5,154.38,153.27,154,5810.56,153.905,2163,Crossed.same
46,6/30/2022 8:50,154.01,154.29,153.49,154.25,5061.32,153.899,1921,Crossed.same
47,6/30/2022 8:55,154.23,154.38,153.69,154.24,4184.11,154.072,1539,Crossed.same
48,6/30/2022 9:00,154.25,154.25,153.2,153.34,5438.61,153.605,2000,Crossed.same
49,6/30/2022 9:05,153.33,153.38,152.62,152.84,5068.6,152.867,2156,Crossed.same
50,6/30/2022 9:10,152.79,153.5,152.65,153.41,4145.22,153.094,1458,Crossed.same
51,6/30/2022 9:15,153.42,153.62,152.91,153.46,4273.56,153.275,1394,Crossed.same
52,6/30/2022 9:20,153.44,154.45,153.28,154.41,5232,153.875,1667,Crossed.same
53,6/30/2022 9:25,154.44,155.04,154.27,154.92,6167.9,154.787,2457,Crossed.same
54,6/30/2022 9:30,154.93,155.67,154.91,155.42,7463.94,155.413,2591,Crossed.same
55,6/30/2022 9:35,155.43,155.47,154.41,154.52,5862.63,154.876,2104,Crossed.same
56,6/30/2022 9:40,154.54,154.92,154.26,154.69,4906.14,154.523,1958,Crossed.same
57,6/30/2022 9:45,154.7,154.99,154.28,154.33,3955.32,154.665,1663,Crossed.same
58,6/30/2022 9:50,154.35,154.61,154.08,154.48,3718.89,154.347,1440,Crossed.same
59,6/30/2022 9:55,154.45,154.55,154.03,154.3,2945.34,154.242,1170,Crossed.same
60,6/30/2022 10:00,154.3,154.68,154.21,154.45,2721.7,154.443,978,Crossed.same
61,6/30/2022 10:05,154.46,154.47,153.66,153.72,2993.24,153.917,1164,Crossed.same
62,6/30/2022 10:10,153.72,153.77,152.49,152.56,6152.74,153.062,2353,Crossed.same
63,6/30/2022 10:15,152.53,152.84,152.52,152.72,4026.59,152.67,1527,Crossed.same
64,6/30/2022 10:20,152.74,153.04,152.59,152.96,3949.15,152.843,1573,Crossed.under
65,6/30/2022 10:25,152.93,153.07,152.8,152.97,2778.23,152.918,1218,Crossed.same
66,6/30/2022 10:30,153,153.24,152.75,153.13,5014.89,153.041,1556,Crossed.same
67,6/30/2022 10:35,153.11,153.35,152.98,153.27,2177.89,153.192,931,Crossed.same
68,6/30/2022 10:40,153.29,153.79,152.7,152.71,6123.5,153.354,2055,Crossed.same
69,6/30/2022 10:45,152.69,153.51,152.69,153.47,3588.44,153.088,1172,Crossed.same
70,6/30/2022 10:50,153.44,154.07,153.34,153.84,4311.35,153.717,1607,Crossed.same
71,6/30/2022 10:55,153.85,153.85,153.47,153.65,2837.3,153.645,1161,Crossed.same
72,6/30/2022 11:00,153.67,153.68,153.21,153.53,3297.7,153.465,1624,Crossed.over
73,6/30/2022 11:05,153.53,153.64,152.75,152.94,4302.78,153.165,1756,Crossed.under
74,6/30/2022 11:10,152.95,153.64,152.87,153.13,4641.36,153.351,1760,Crossed.same
75,6/30/2022 11:15,153.11,153.41,152.89,153.29,3414.17,153.225,1442,Crossed.same
76,6/30/2022 11:20,153.33,153.55,152.77,152.8,4811.84,153.212,2285,Crossed.same
77,6/30/2022 11:25,152.8,153.34,152.45,153.26,4542.63,152.942,1811,Crossed.same
78,6/30/2022 11:30,153.27,153.49,152.85,153.09,3867.16,153.158,1629,Crossed.same
79,6/30/2022 11:35,153.07,153.33,152.81,153.29,3511.61,153.102,1588,Crossed.same
80,6/30/2022 11:40,153.26,153.32,152.27,152.46,4993.63,152.758,2001,Crossed.same
81,6/30/2022 11:45,152.46,152.94,152.34,152.79,3286.11,152.764,1344,Crossed.same
82,6/30/2022 11:50,152.81,152.86,152.18,152.46,3213.23,152.486,1359,Crossed.same
83,6/30/2022 11:55,152.43,152.52,152.16,152.2,3472.02,152.348,1379,Crossed.same
84,6/30/2022 12:00,152.17,152.39,151.97,152.1,3851.73,152.163,1736,Crossed.same
